epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.135,1.46323,1.75448,1.17912,0.77717,0.72806,0.79145,0.45782,1.30229,1.19468,1.12587,0.000415544,0.000415544,0.000415544
2,309.416,1.31089,1.11509,1.09308,0.80856,0.73497,0.81348,0.48084,1.31613,1.10986,1.14008,0.000823971,0.000823971,0.000823971
3,459.643,1.28549,0.99279,1.09045,0.84992,0.77138,0.84954,0.5274,1.26258,0.96315,1.12809,0.00122415,0.00122415,0.00122415
4,609.273,1.25731,0.94051,1.08905,0.85867,0.76468,0.84652,0.52413,1.24581,0.9838,1.11861,0.00121287,0.00121287,0.00121287
5,757.218,1.21568,0.88631,1.0704,0.85676,0.79224,0.86861,0.52968,1.26326,0.87318,1.12106,0.0012005,0.0012005,0.0012005
6,908.145,1.19397,0.85034,1.06253,0.86739,0.80942,0.88417,0.57106,1.16667,0.82429,1.08325,0.00118812,0.00118812,0.00118812
7,1057.75,1.17423,0.81337,1.05674,0.86073,0.81794,0.88905,0.58571,1.15316,0.79764,1.08187,0.00117575,0.00117575,0.00117575
8,1209.4,1.14689,0.7847,1.04471,0.86377,0.8286,0.88825,0.58309,1.14995,0.78106,1.06928,0.00116337,0.00116337,0.00116337
9,1362.43,1.13282,0.76686,1.04014,0.87201,0.84523,0.9008,0.60334,1.10674,0.74656,1.05174,0.001151,0.001151,0.001151
10,1512.53,1.11886,0.7623,1.03493,0.8747,0.82886,0.89271,0.58434,1.14892,0.7853,1.06946,0.00113863,0.00113863,0.00113863
11,1663.71,1.11182,0.73927,1.03103,0.88534,0.83866,0.9064,0.60607,1.11995,0.72302,1.05119,0.00112625,0.00112625,0.00112625
12,1815.36,1.10017,0.72855,1.02611,0.88149,0.84553,0.91122,0.61706,1.08696,0.70543,1.03883,0.00111388,0.00111388,0.00111388
13,1963.06,1.08412,0.71097,1.01779,0.87827,0.85013,0.90875,0.61957,1.07735,0.70951,1.03448,0.0011015,0.0011015,0.0011015
14,2111.45,1.07623,0.70436,1.01667,0.88504,0.84346,0.90768,0.6156,1.09177,0.70991,1.0464,0.00108913,0.00108913,0.00108913
15,2258.59,1.07014,0.6975,1.01538,0.88554,0.85268,0.91603,0.62617,1.07765,0.67452,1.04152,0.00107675,0.00107675,0.00107675
16,2404.58,1.08081,0.70304,1.02336,0.88608,0.84242,0.91171,0.62988,1.0669,0.68209,1.02731,0.00106437,0.00106437,0.00106437
17,2552.61,1.05805,0.68128,1.01129,0.89662,0.83092,0.9057,0.62054,1.08245,0.70504,1.03834,0.001052,0.001052,0.001052
18,2699.75,1.05033,0.66898,1.00273,0.87705,0.85834,0.91807,0.64109,1.04645,0.66755,1.02988,0.00103962,0.00103962,0.00103962
19,2846.54,1.03775,0.66947,1.00442,0.89454,0.85969,0.92459,0.63998,1.05105,0.64182,1.02587,0.00102725,0.00102725,0.00102725
20,2993.76,1.03523,0.65908,1.00131,0.89083,0.85362,0.91822,0.63984,1.03526,0.66074,1.02023,0.00101488,0.00101488,0.00101488
21,3139.99,1.02965,0.65391,0.99736,0.89752,0.85518,0.92337,0.64365,1.02049,0.63637,1.00904,0.0010025,0.0010025,0.0010025
22,3287.41,1.02423,0.64323,0.99614,0.88156,0.85881,0.91827,0.64456,1.02033,0.63929,1.01416,0.000990125,0.000990125,0.000990125
23,3433.8,1.01079,0.64205,0.99544,0.89502,0.86451,0.92674,0.65071,1.01477,0.62004,1.00682,0.00097775,0.00097775,0.00097775
24,3581.19,1.01744,0.64407,0.99321,0.89453,0.86691,0.92953,0.65686,1.00415,0.60994,1.00008,0.000965375,0.000965375,0.000965375
25,3731.27,1.01336,0.63772,0.99111,0.9005,0.85777,0.92345,0.64597,1.02243,0.61395,1.01004,0.000953,0.000953,0.000953
